"Dia";"Empresa";"Nicho";"Cidade";"WhatsApp";"Site"
"Dia 4";"Saúde Oral13";"Clínica Odontológica";"São José dos Campos";"(12) 99369-1239";""
"Dia 4";"Saúde Odontologia14";"Clínica Odontológica";"São José dos Campos";"(12) 99906-7444";""
"Dia 4";"Mania Veterinária15";"Pet Shop";"São José dos Campos";"(12) 99405-6828";""
"Dia 4";"Vida Dental16";"Clínica Odontológica";"São José dos Campos";"(12) 99611-8576";""
"Dia 4";"Bicho Pet17";"Pet Shop";"São José dos Campos";"(12) 99914-3211";""
"Dia 4";"Clean Clin18";"Clínica Odontológica";"São José dos Campos";"(12) 99296-5180";""
"Dia 4";"Amigo Bichos19";"Pet Shop";"São José dos Campos";"(12) 99639-8355";""
"Dia 4";"Sorriso Sorrisos20";"Clínica Odontológica";"São José dos Campos";"(12) 99835-1314";""
"Dia 4";"Odonto Oral21";"Clínica Odontológica";"São José dos Campos";"(12) 99332-2507";""
"Dia 4";"Studio Laser22";"Clínica de Estética";"São José dos Campos";"(12) 99311-2007";""
"Dia 4";"Essência Laser23";"Clínica de Estética";"São José dos Campos";"(12) 99949-1459";""
"Dia 4";"Saúde Dental24";"Clínica Odontológica";"São José dos Campos";"(12) 99063-2847";""
"Dia 4";"Corpo Estética Avançada25";"Clínica de Estética";"São José dos Campos";"(12) 99639-6008";""
"Dia 4";"Pele Estética26";"Clínica de Estética";"São José dos Campos";"(12) 99115-8339";""
"Dia 4";"Cantinho Veterinária27";"Pet Shop";"São José dos Campos";"(12) 99244-8244";""
"Dia 4";"Vida Oral28";"Clínica Odontológica";"São José dos Campos";"(12) 99537-9834";""
"Dia 4";"Consultório Odontologia29";"Clínica Odontológica";"São José dos Campos";"(12) 99289-7914";""
"Dia 4";"Prime Dental30";"Clínica Odontológica";"São José dos Campos";"(12) 99084-7402";""
"Dia 4";"Bela Clinic31";"Clínica de Estética";"São José dos Campos";"(12) 99589-4987";""
"Dia 4";"Bela Sorrisos32";"Clínica Odontológica";"São José dos Campos";"(12) 99142-3185";""
"Dia 4";"Prime Clin33";"Clínica Odontológica";"São José dos Campos";"(12) 99710-1414";""
"Dia 4";"Gato Boutique34";"Pet Shop";"São José dos Campos";"(12) 99494-7703";""
"Dia 4";"Pelos Pet35";"Pet Shop";"São José dos Campos";"(12) 99347-9655";""
"Dia 4";"Cão e Cia36";"Pet Shop";"São José dos Campos";"(12) 99763-5549";""
"Dia 4";"Consultório Center37";"Clínica Odontológica";"São José dos Campos";"(12) 99910-9886";""
"Dia 4";"Odonto Familiar38";"Clínica Odontológica";"São José dos Campos";"(12) 99619-9667";""
"Dia 4";"Cantinho Store39";"Pet Shop";"São José dos Campos";"(12) 99989-5799";""
"Dia 4";"Gato Veterinária40";"Pet Shop";"São José dos Campos";"(12) 99866-8593";""
"Dia 4";"Master Oral41";"Clínica Odontológica";"São José dos Campos";"(12) 99270-1677";"http://www.siteantigo-masteroral41.com.br"
"Dia 4";"Essência SPA42";"Clínica de Estética";"São José dos Campos";"(12) 99515-5628";"http://www.siteantigo-essênciaspa42.com.br"
"Dia 4";"Cão e Cia43";"Pet Shop";"São José dos Campos";"(12) 99552-5921";"http://www.siteantigo-cãoecia43.com.br"
"Dia 4";"Harmonia SPA44";"Clínica de Estética";"São José dos Campos";"(12) 99027-5237";"http://www.siteantigo-harmoniaspa44.com.br"
"Dia 4";"Pet e Cia45";"Pet Shop";"São José dos Campos";"(12) 99775-4982";"http://www.siteantigo-petecia45.com.br"
"Dia 4";"Gato Shop46";"Pet Shop";"São José dos Campos";"(12) 99283-2165";"http://www.siteantigo-gatoshop46.com.br"
"Dia 4";"Essência SPA47";"Clínica de Estética";"São José dos Campos";"(12) 99182-6100";"http://www.siteantigo-essênciaspa47.com.br"
"Dia 4";"Bela Prime48";"Clínica Odontológica";"São José dos Campos";"(12) 99361-6317";"http://www.siteantigo-belaprime48.com.br"
"Dia 4";"Bela Care49";"Clínica de Estética";"São José dos Campos";"(12) 99190-6031";"http://www.siteantigo-belacare49.com.br"
"Dia 4";"Clínica Estética Avançada50";"Clínica de Estética";"São José dos Campos";"(12) 99661-8652";"http://www.siteantigo-clínicaesteticaavançada50.com.br"
"Dia 5";"Mundo Feliz1";"Pet Shop";"Santo André";"(11) 99852-7313";""
"Dia 5";"Harmonia Derma2";"Clínica de Estética";"Santo André";"(11) 99450-1804";""
"Dia 5";"Harmonia SPA3";"Clínica de Estética";"Santo André";"(11) 99756-7033";""
"Dia 5";"Cão Bichos4";"Pet Shop";"Santo André";"(11) 99917-3362";""
"Dia 5";"Master Sorrisos5";"Clínica Odontológica";"Santo André";"(11) 99155-4035";""
"Dia 5";"Derme Laser6";"Clínica de Estética";"Santo André";"(11) 99847-4973";""
"Dia 5";"Cão Feliz7";"Pet Shop";"Santo André";"(11) 99974-2576";""
"Dia 5";"Pelos Store8";"Pet Shop";"Santo André";"(11) 99464-8780";""
"Dia 5";"Sorriso Center9";"Clínica Odontológica";"Santo André";"(11) 99390-2854";""
"Dia 5";"Bicho Pet10";"Pet Shop";"Santo André";"(11) 99099-9508";""
"Dia 5";"Mundo Banho e Tosa11";"Pet Shop";"Santo André";"(11) 99683-6387";""
"Dia 5";"Bicho Bichos12";"Pet Shop";"Santo André";"(11) 99485-2115";""
"Dia 5";"Mais Clin13";"Clínica Odontológica";"Santo André";"(11) 99154-4003";""
"Dia 5";"Saúde Sorrisos14";"Clínica Odontológica";"Santo André";"(11) 99715-2917";""
"Dia 5";"Consultório Especializada15";"Clínica Odontológica";"Santo André";"(11) 99235-6058";""
"Dia 5";"Harmonia Beleza16";"Clínica de Estética";"Santo André";"(11) 99600-6128";""
"Dia 5";"Master Saúde17";"Clínica Odontológica";"Santo André";"(11) 99009-8137";""
"Dia 5";"Clean Saúde18";"Clínica Odontológica";"Santo André";"(11) 99200-7157";""
"Dia 5";"Corpo Laser19";"Clínica de Estética";"Santo André";"(11) 99912-7684";""
"Dia 5";"Master Dental20";"Clínica Odontológica";"Santo André";"(11) 99811-6538";""
"Dia 5";"Clean Familiar21";"Clínica Odontológica";"Santo André";"(11) 99499-6445";""
"Dia 5";"Renova Saúde22";"Clínica de Estética";"Santo André";"(11) 99152-4078";""
"Dia 5";"Recanto e Cia23";"Pet Shop";"Santo André";"(11) 99139-9137";""
"Dia 5";"Pet Veterinária24";"Pet Shop";"Santo André";"(11) 99039-9235";""
"Dia 5";"Derme Face & Corpo25";"Clínica de Estética";"Santo André";"(11) 99220-2502";""
"Dia 5";"Renova Clinic26";"Clínica de Estética";"Santo André";"(11) 99655-3448";""
"Dia 5";"Bicho Pet27";"Pet Shop";"Santo André";"(11) 99331-6540";""
"Dia 5";"Patas Veterinária28";"Pet Shop";"Santo André";"(11) 99978-6986";""
"Dia 5";"Cantinho e Cia29";"Pet Shop";"Santo André";"(11) 99891-9684";""
"Dia 5";"Derme Face & Corpo30";"Clínica de Estética";"Santo André";"(11) 99343-8929";""
"Dia 5";"Cantinho Shop31";"Pet Shop";"Santo André";"(11) 99356-5608";""
"Dia 5";"Prime Odontologia32";"Clínica Odontológica";"Santo André";"(11) 99658-8543";""
"Dia 5";"Pet Banho e Tosa33";"Pet Shop";"Santo André";"(11) 99082-3231";""
"Dia 5";"Clínica SPA34";"Clínica de Estética";"Santo André";"(11) 99503-7712";""
"Dia 5";"Gato Vet35";"Pet Shop";"Santo André";"(11) 99608-9544";""
"Dia 5";"Vida Sorrisos36";"Clínica Odontológica";"Santo André";"(11) 99597-3475";""
"Dia 5";"Studio Saúde37";"Clínica de Estética";"Santo André";"(11) 99878-8194";""
"Dia 5";"Mundo Banho e Tosa38";"Pet Shop";"Santo André";"(11) 99037-4115";""
"Dia 5";"Odonto Clin39";"Clínica Odontológica";"Santo André";"(11) 99317-1658";""
"Dia 5";"Mundo Veterinária40";"Pet Shop";"Santo André";"(11) 99170-1790";""
"Dia 5";"Pele Saúde41";"Clínica de Estética";"Santo André";"(11) 99429-7710";"http://www.siteantigo-pelesaúde41.com.br"
"Dia 5";"Derme Face & Corpo42";"Clínica de Estética";"Santo André";"(11) 99248-6108";"http://www.siteantigo-dermefaceecorpo42.com.br"
"Dia 5";"Patas Store43";"Pet Shop";"Santo André";"(11) 99314-6646";"http://www.siteantigo-patasstore43.com.br"
"Dia 5";"Pele Derma44";"Clínica de Estética";"Santo André";"(11) 99027-6699";"http://www.siteantigo-pelederma44.com.br"
"Dia 5";"Consultório Center45";"Clínica Odontológica";"Santo André";"(11) 99476-5531";"http://www.siteantigo-consultoriocenter45.com.br"
"Dia 5";"Essência Laser46";"Clínica de Estética";"Santo André";"(11) 99349-4495";"http://www.siteantigo-essêncialaser46.com.br"
"Dia 5";"Consultório Center47";"Clínica Odontológica";"Santo André";"(11) 99835-4211";"http://www.siteantigo-consultoriocenter47.com.br"
"Dia 5";"Saúde Saúde48";"Clínica Odontológica";"Santo André";"(11) 99100-1625";"http://www.siteantigo-saúdesaúde48.com.br"
"Dia 5";"Cantinho Pet49";"Pet Shop";"Santo André";"(11) 99002-8037";"http://www.siteantigo-cantinhopet49.com.br"
"Dia 5";"Saúde Odontologia50";"Clínica Odontológica";"Santo André";"(11) 99231-2639";"http://www.siteantigo-saúdeodontologia50.com.br"
